id,category,amount,day
138,bakery,163.17,26
139,meat,164.28,27
140,other,165.39,28
141,produce,166.5,1
142,dairy,167.61,2
143,bakery,168.72,3
144,meat,169.83,4
145,other,170.94,5
146,produce,172.05,6
147,dairy,173.16,7
148,bakery,174.27,8
149,meat,175.38,9
150,other,176.49,10
151,produce,177.6,11
152,dairy,178.71,12
153,bakery,179.82,13
154,meat,180.93,14
155,other,182.04,15
156,produce,183.15,16
157,dairy,184.26,17
158,bakery,185.37,18
159,meat,186.48,19
160,other,187.59,20
161,produce,188.7,21
162,dairy,189.81,22
163,bakery,190.92,23
164,meat,192.03,24
165,other,193.14,25
166,produce,194.25,26
167,dairy,195.36,27
168,bakery,196.47,28
169,meat,197.58,1
170,other,198.69,2
171,produce,199.8,3
172,dairy,200.91,4
173,bakery,202.02,5
174,meat,203.13,6
175,other,204.24,7
176,produce,205.35,8
177,dairy,206.46,9
178,bakery,207.57,10
179,meat,208.68,11
180,other,209.79,12
181,produce,210.9,13
182,dairy,212.01,14
183,bakery,213.12,15
184,meat,214.23,16
185,other,215.34,17
186,produce,216.45,18
187,dairy,217.56,19
188,bakery,218.67,20
189,meat,219.78,21
190,other,220.89,22
191,produce,222.0,23
192,dairy,223.11,24
193,bakery,224.22,25
194,meat,225.33,26
195,other,226.44,27
196,produce,227.55,28
197,dairy,228.66,1
198,bakery,229.77,2
199,meat,230.88,3
200,other,231.99,4
201,produce,233.1,5
202,dairy,234.21,6
203,bakery,235.32,7
204,meat,236.43,8
205,other,237.54,9
206,produce,238.65,10
207,dairy,239.76,11
208,bakery,240.87,12
209,meat,241.98,13
210,other,243.09,14
211,produce,244.2,15
212,dairy,245.31,16
213,bakery,246.42,17
214,meat,247.53,18
215,other,248.64,19
216,produce,249.75,20
217,dairy,250.86,21
218,bakery,251.97,22
219,meat,253.08,23
220,other,254.19,24
221,produce,255.3,25
222,dairy,256.41,26
223,bakery,257.52,27
224,meat,258.63,28
225,other,259.74,1
226,produce,260.85,2
227,dairy,261.96,3
228,bakery,263.07,4
229,meat,264.18,5
230,other,265.29,6
231,produce,266.4,7
232,dairy,267.51,8
233,bakery,268.62,9
234,meat,269.73,10
235,other,270.84,11
236,produce,271.95,12
237,dairy,273.06,13
238,bakery,274.17,14
239,meat,275.28,15
240,other,276.39,16
241,produce,277.5,17
242,dairy,278.61,18
243,bakery,279.72,19
244,meat,280.83,20
245,other,281.94,21
246,produce,283.05,22
247,dairy,284.16,23
248,bakery,285.27,24
249,meat,286.38,25
250,other,287.49,26
251,produce,288.6,27
252,dairy,289.71,28
253,bakery,290.82,1
254,meat,291.93,2
255,other,293.04,3
256,produce,294.15,4
257,dairy,295.26,5
258,bakery,296.37,6
259,meat,297.48,7
260,other,298.59,8
261,produce,299.7,9
262,dairy,300.81,10
263,bakery,301.92,11
264,meat,303.03,12
265,other,304.14,13
266,produce,305.25,14
267,dairy,306.36,15
268,bakery,307.47,16
269,meat,308.58,17
270,other,309.69,18
271,produce,310.8,19
272,dairy,311.91,20
273,bakery,313.02,21
274,meat,314.13,22
275,other,315.24,23
276,produce,316.35,24
277,dairy,317.46,25
278,bakery,318.57,26
279,meat,319.68,27
280,other,320.79,28
281,produce,321.9,1
282,dairy,323.01,2
283,bakery,324.12,3
284,meat,325.23,4
285,other,326.34,5
286,produce,327.45,6
287,dairy,328.56,7
288,bakery,329.67,8
289,meat,330.78,9
290,other,331.89,10
291,produce,333.0,11
292,dairy,334.11,12
293,bakery,335.22,13
294,meat,336.33,14
295,other,337.44,15
296,produce,338.55,16
297,dairy,339.66,17
298,bakery,340.77,18
299,meat,341.88,19
300,other,342.99,20
301,produce,344.1,21
302,dairy,345.21,22
303,bakery,346.32,23
304,meat,347.43,24
305,other,348.54,25
306,produce,349.65,26
307,dairy,350.76,27
308,bakery,351.87,28
309,meat,352.98,1
310,other,354.09,2
311,produce,355.2,3
312,dairy,356.31,4
313,bakery,357.42,5
314,meat,358.53,6
315,other,359.64,7
316,produce,360.75,8
317,dairy,361.86,9
318,bakery,362.97,10
319,meat,364.08,11
320,other,365.19,12
321,produce,366.3,13
322,dairy,367.41,14
323,bakery,368.52,15
324,meat,369.63,16
325,other,370.74,17
326,produce,371.85,18
327,dairy,372.96,19
328,bakery,374.07,20
329,meat,375.18,21
330,other,376.29,22
331,produce,377.4,23
332,dairy,378.51,24
333,bakery,379.62,25
334,meat,380.73,26
335,other,381.84,27
336,produce,382.95,28
337,dairy,384.06,1
338,bakery,385.17,2
339,meat,386.28,3
340,other,387.39,4
341,produce,388.5,5
342,dairy,389.61,6
343,bakery,390.72,7
344,meat,391.83,8
345,other,392.94,9
346,produce,394.05,10
347,dairy,395.16,11
348,bakery,396.27,12
349,meat,397.38,13
350,other,398.49,14
351,produce,399.6,15
352,dairy,400.71,16
353,bakery,401.82,17
354,meat,402.93,18
355,other,404.04,19
356,produce,405.15,20
357,dairy,406.26,21
358,bakery,407.37,22
359,meat,408.48,23
360,other,409.59,24
361,produce,410.7,25
362,dairy,411.81,26
363,bakery,412.92,27
364,meat,414.03,28
365,other,415.14,1
366,produce,416.25,2
367,dairy,417.36,3
368,bakery,418.47,4
369,meat,419.58,5
370,other,420.69,6
371,produce,421.8,7
372,dairy,422.91,8
373,bakery,424.02,9
374,meat,425.13,10
375,other,426.24,11
376,produce,427.35,12
377,dairy,428.46,13
378,bakery,429.57,14
379,meat,430.68,15
380,other,431.79,16
381,produce,432.9,17
382,dairy,434.01,18
383,bakery,435.12,19
384,meat,436.23,20
385,other,437.34,21
386,produce,438.45,22
387,dairy,439.56,23
388,bakery,440.67,24
389,meat,441.78,25
390,other,442.89,26
391,produce,444.0,27
392,dairy,445.11,28
393,bakery,446.22,1
394,meat,447.33,2
395,other,448.44,3
396,produce,449.55,4
397,dairy,450.66,5
398,bakery,451.77,6
399,meat,452.88,7
400,other,453.99,8
401,produce,455.1,9
402,dairy,456.21,10
403,bakery,457.32,11
404,meat,458.43,12
405,other,459.54,13
406,produce,460.65,14
407,dairy,461.76,15
408,bakery,462.87,16
409,meat,463.98,17
410,other,465.09,18
411,produce,466.2,19
412,dairy,467.31,20
413,bakery,468.42,21
414,meat,469.53,22
415,other,470.64,23
416,produce,471.75,24
417,dairy,472.86,25
418,bakery,473.97,26
419,meat,475.08,27
420,other,476.19,28
421,produce,477.3,1
422,dairy,478.41,2
423,bakery,479.52,3
424,meat,480.63,4
425,other,481.74,5
426,produce,482.85,6
427,dairy,483.96,7
428,bakery,485.07,8
429,meat,486.18,9
430,other,487.29,10
431,produce,488.4,11
432,dairy,489.51,12
433,bakery,490.62,13
434,meat,491.73,14
435,other,492.84,15
436,produce,493.95,16
437,dairy,495.06,17
438,bakery,496.17,18
439,meat,497.28,19
440,other,498.39,20
441,produce,499.5,21
442,dairy,500.61,22
443,bakery,501.72,23
444,meat,502.83,24
445,other,503.94,25
446,produce,505.05,26
447,dairy,506.16,27
448,bakery,507.27,28
449,meat,508.38,1
450,other,509.49,2
451,produce,510.6,3
452,dairy,511.71,4
453,bakery,512.82,5
454,meat,513.93,6
455,other,515.04,7
456,produce,516.15,8
457,dairy,517.26,9
458,bakery,518.37,10
459,meat,519.48,11
460,other,520.59,12
461,produce,521.7,13
462,dairy,522.81,14
463,bakery,523.92,15
464,meat,525.03,16
465,other,526.14,17
466,produce,527.25,18
467,dairy,528.36,19
468,bakery,529.47,20
469,meat,530.58,21
470,other,531.69,22
471,produce,532.8,23
472,dairy,533.91,24
473,bakery,535.02,25
474,meat,536.13,26
475,other,537.24,27
476,produce,538.35,28
477,dairy,539.46,1
478,bakery,540.57,2
479,meat,541.68,3
480,other,542.79,4
481,produce,543.9,5
482,dairy,545.01,6
483,bakery,546.12,7
484,meat,547.23,8
485,other,548.34,9
486,produce,549.45,10
487,dairy,550.56,11
488,bakery,551.67,12
489,meat,552.78,13
490,other,553.89,14
491,produce,555.0,15
492,dairy,556.11,16
493,bakery,557.22,17
494,meat,558.33,18
495,other,559.44,19
496,produce,560.55,20
497,dairy,561.66,21
498,bakery,562.77,22
499,meat,563.88,23
500,other,9.99,24
501,produce,11.1,25
502,dairy,12.21,26
503,bakery,13.32,27
504,meat,14.43,28
505,other,15.54,1
506,produce,16.65,2
507,dairy,17.76,3
508,bakery,18.87,4
509,meat,19.98,5
510,other,21.09,6
511,produce,22.2,7
512,dairy,23.31,8
513,bakery,24.42,9
514,meat,25.53,10
515,other,26.64,11
516,produce,27.75,12
517,dairy,28.86,13
518,bakery,29.97,14
519,meat,31.08,15
520,other,32.19,16
521,produce,33.3,17
522,dairy,34.41,18
523,bakery,35.52,19
524,meat,36.63,20
525,other,37.74,21
526,produce,38.85,22
527,dairy,39.96,23
528,bakery,41.07,24
529,meat,42.18,25
530,other,43.29,26
531,produce,44.4,27
532,dairy,45.51,28
533,bakery,46.62,1
534,meat,47.73,2
535,other,48.84,3
536,produce,49.95,4
537,dairy,51.06,5
538,bakery,52.17,6
539,meat,53.28,7
540,other,54.39,8
541,produce,55.5,9
542,dairy,56.61,10
543,bakery,57.72,11
544,meat,58.83,12
545,other,59.94,13
546,produce,61.05,14
547,dairy,62.16,15
548,bakery,63.27,16
549,meat,64.38,17
550,other,65.49,18
551,produce,66.6,19
552,dairy,67.71,20
553,bakery,68.82,21
554,meat,69.93,22
555,other,71.04,23
556,produce,72.15,24
557,dairy,73.26,25
558,bakery,74.37,26
559,meat,75.48,27
560,other,76.59,28
561,produce,77.7,1
562,dairy,78.81,2
563,bakery,79.92,3
564,meat,81.03,4
565,other,82.14,5
566,produce,83.25,6
567,dairy,84.36,7
568,bakery,85.47,8
569,meat,86.58,9
570,other,87.69,10
571,produce,88.8,11
572,dairy,89.91,12
573,bakery,91.02,13
574,meat,92.13,14
575,other,93.24,15
576,produce,94.35,16
577,dairy,95.46,17
578,bakery,96.57,18
579,meat,97.68,19
580,other,98.79,20
581,produce,99.9,21
582,dairy,101.01,22
583,bakery,102.12,23
584,meat,103.23,24
585,other,104.34,25
586,produce,105.45,26
587,dairy,106.56,27
588,bakery,107.67,28
589,meat,108.78,1
590,other,109.89,2
591,produce,111.0,3
592,dairy,112.11,4
593,bakery,113.22,5
594,meat,114.33,6
595,other,115.44,7
596,produce,116.55,8
597,dairy,117.66,9
598,bakery,118.77,10
599,meat,119.88,11
600,other,120.99,12
601,produce,122.1,13
602,dairy,123.21,14
603,bakery,124.32,15
604,meat,125.43,16
605,other,126.54,17
606,produce,127.65,18
607,dairy,128.76,19
608,bakery,129.87,20
609,meat,130.98,21
610,other,132.09,22
611,produce,133.2,23
612,dairy,134.31,24
613,bakery,135.42,25
614,meat,136.53,26
615,other,137.64,27
616,produce,138.75,28
617,dairy,139.86,1
618,bakery,140.97,2
619,meat,142.08,3
620,other,143.19,4
621,produce,144.3,5
622,dairy,145.41,6
623,bakery,146.52,7
624,meat,147.63,8
625,other,148.74,9
626,produce,149.85,10
627,dairy,150.96,11
628,bakery,152.07,12
629,meat,153.18,13
630,other,154.29,14
631,produce,155.4,15
632,dairy,156.51,16
633,bakery,157.62,17
634,meat,158.73,18
635,other,159.84,19
636,produce,160.95,20
637,dairy,162.06,21
638,bakery,163.17,22
639,meat,164.28,23
640,other,165.39,24
641,produce,166.5,25
642,dairy,167.61,26
643,bakery,168.72,27
644,meat,169.83,28
645,other,170.94,1
646,produce,172.05,2
647,dairy,173.16,3
648,bakery,174.27,4
649,meat,175.38,5
650,other,176.49,6
651,produce,177.6,7
652,dairy,178.71,8
653,bakery,179.82,9
654,meat,180.93,10
655,other,182.04,11
656,produce,183.15,12
657,dairy,184.26,13
658,bakery,185.37,14
659,meat,186.48,15
660,other,187.59,16
661,produce,188.7,17
662,dairy,189.81,18
663,bakery,190.92,19
664,meat,192.03,20
665,other,193.14,21
666,produce,194.25,22
667,dairy,195.36,23
668,bakery,196.47,24
669,meat,197.58,25
670,other,198.69,26
671,produce,199.8,27
672,dairy,200.91,28
673,bakery,202.02,1
674,meat,203.13,2
675,other,204.24,3
676,produce,205.35,4
677,dairy,206.46,5
678,bakery,207.57,6
679,meat,208.68,7
680,other,209.79,8
681,produce,210.9,9
682,dairy,212.01,10
683,bakery,213.12,11
684,meat,214.23,12
685,other,215.34,13
686,produce,216.45,14
687,dairy,217.56,15
688,bakery,218.67,16
689,meat,219.78,17
690,other,220.89,18
691,produce,222.0,19
692,dairy,223.11,20
693,bakery,224.22,21
694,meat,225.33,22
695,other,226.44,23
696,produce,227.55,24
697,dairy,228.66,25
698,bakery,229.77,26
699,meat,230.88,27
700,other,231.99,28
701,produce,233.1,1
702,dairy,234.21,2
703,bakery,235.32,3
704,meat,236.43,4
705,other,237.54,5
706,produce,238.65,6
707,dairy,239.76,7
708,bakery,240.87,8
709,meat,241.98,9
710,other,243.09,10
711,produce,244.2,11
712,dairy,245.31,12
713,bakery,246.42,13
714,meat,247.53,14
715,other,248.64,15
716,produce,249.75,16
717,dairy,250.86,17
718,bakery,251.97,18
719,meat,253.08,19
720,other,254.19,20
721,produce,255.3,21
722,dairy,256.41,22
723,bakery,257.52,23
724,meat,258.63,24
725,other,259.74,25
726,produce,260.85,26
727,dairy,261.96,27
728,bakery,263.07,28
729,meat,264.18,1
730,other,265.29,2
731,produce,266.4,3
732,dairy,267.51,4
733,bakery,268.62,5
734,meat,269.73,6
735,other,270.84,7
736,produce,271.95,8
737,dairy,273.06,9
738,bakery,274.17,10
739,meat,275.28,11
740,other,276.39,12
741,produce,277.5,13
742,dairy,278.61,14
743,bakery,279.72,15
744,meat,280.83,16
745,other,281.94,17
746,produce,283.05,18
747,dairy,284.16,19
748,bakery,285.27,20
749,meat,286.38,21
750,other,287.49,22
751,produce,288.6,23
752,dairy,289.71,24
753,bakery,290.82,25
754,meat,291.93,26
755,other,293.04,27
756,produce,294.15,28
757,dairy,295.26,1
758,bakery,296.37,2
759,meat,297.48,3
760,other,298.59,4
761,produce,299.7,5
762,dairy,300.81,6
763,bakery,301.92,7
764,meat,303.03,8
765,other,304.14,9
766,produce,305.25,10
767,dairy,306.36,11
768,bakery,307.47,12
769,meat,308.58,13
770,other,309.69,14
771,produce,310.8,15
772,dairy,311.91,16
773,bakery,313.02,17
774,meat,314.13,18
775,other,315.24,19
776,produce,316.35,20
777,dairy,317.46,21
778,bakery,318.57,22
779,meat,319.68,23
780,other,320.79,24
781,produce,321.9,25
782,dairy,323.01,26
783,bakery,324.12,27
784,meat,325.23,28
785,other,326.34,1
786,produce,327.45,2
787,dairy,328.56,3
788,bakery,329.67,4
789,meat,330.78,5
790,other,331.89,6
791,produce,333.0,7
792,dairy,334.11,8
793,bakery,335.22,9
794,meat,336.33,10
795,other,337.44,11
796,produce,338.55,12
797,dairy,339.66,13
798,bakery,340.77,14
799,meat,341.88,15
800,other,342.99,16
801,produce,344.1,17
802,dairy,345.21,18
803,bakery,346.32,19
804,meat,347.43,20
805,other,348.54,21
806,produce,349.65,22
807,dairy,350.76,23
808,bakery,351.87,24
809,meat,352.98,25
810,other,354.09,26
811,produce,355.2,27
812,dairy,356.31,28
813,bakery,357.42,1
814,meat,358.53,2
815,other,359.64,3
816,produce,360.75,4
817,dairy,361.86,5
818,bakery,362.97,6
819,meat,364.08,7
820,other,365.19,8
821,produce,366.3,9
822,dairy,367.41,10
823,bakery,368.52,11
824,meat,369.63,12
825,other,370.74,13
826,produce,371.85,14
827,dairy,372.96,15
828,bakery,374.07,16
829,meat,375.18,17
830,other,376.29,18
831,produce,377.4,19
832,dairy,378.51,20
833,bakery,379.62,21
834,meat,380.73,22
835,other,381.84,23
836,produce,382.95,24
837,dairy,384.06,25
838,bakery,385.17,26
839,meat,386.28,27
840,other,387.39,28
841,produce,388.5,1
842,dairy,389.61,2
843,bakery,390.72,3
844,meat,391.83,4
845,other,392.94,5
846,produce,394.05,6
847,dairy,395.16,7
848,bakery,396.27,8
849,meat,397.38,9
850,other,398.49,10
851,produce,399.6,11
852,dairy,400.71,12
853,bakery,401.82,13
854,meat,402.93,14
855,other,404.04,15
856,produce,405.15,16
857,dairy,406.26,17
858,bakery,407.37,18
859,meat,408.48,19
860,other,409.59,20
861,produce,410.7,21
862,dairy,411.81,22
863,bakery,412.92,23
864,meat,414.03,24
865,other,415.14,25
866,produce,416.25,26
867,dairy,417.36,27
868,bakery,418.47,28
869,meat,419.58,1
870,other,420.69,2
871,produce,421.8,3
872,dairy,422.91,4
873,bakery,424.02,5
874,meat,425.13,6
875,other,426.24,7
876,produce,427.35,8
877,dairy,428.46,9
878,bakery,429.57,10
879,meat,430.68,11
880,other,431.79,12
881,produce,432.9,13
882,dairy,434.01,14
883,bakery,435.12,15
884,meat,436.23,16
885,other,437.34,17
886,produce,438.45,18
887,dairy,439.56,19
888,bakery,440.67,20
889,meat,441.78,21
890,other,442.89,22
891,produce,444.0,23
892,dairy,445.11,24
893,bakery,446.22,25
894,meat,447.33,26
895,other,448.44,27
896,produce,449.55,28
897,dairy,450.66,1
898,bakery,451.77,2
899,meat,452.88,3
900,other,453.99,4
901,produce,455.1,5
902,dairy,456.21,6
903,bakery,457.32,7
904,meat,458.43,8
905,other,459.54,9
906,produce,460.65,10
907,dairy,461.76,11
908,bakery,462.87,12
909,meat,463.98,13
910,other,465.09,14
911,produce,466.2,15
912,dairy,467.31,16
913,bakery,468.42,17
914,meat,469.53,18
915,other,470.64,19
916,produce,471.75,20
917,dairy,472.86,21
918,bakery,473.97,22
919,meat,475.08,23
920,other,476.19,24
921,produce,477.3,25
922,dairy,478.41,26
923,bakery,479.52,27
924,meat,480.63,28
925,other,481.74,1
926,produce,482.85,2
927,dairy,483.96,3
928,bakery,485.07,4
929,meat,486.18,5
930,other,487.29,6
931,produce,488.4,7
932,dairy,489.51,8
933,bakery,490.62,9
934,meat,491.73,10
935,other,492.84,11
936,produce,493.95,12
937,dairy,495.06,13
938,bakery,496.17,14
939,meat,497.28,15
940,other,498.39,16
941,produce,499.5,17
942,dairy,500.61,18
943,bakery,501.72,19
944,meat,502.83,20
945,other,503.94,21
946,produce,505.05,22
947,dairy,506.16,23
948,bakery,507.27,24
949,meat,508.38,25
950,other,509.49,26
951,produce,510.6,27
952,dairy,511.71,28
953,bakery,512.82,1
954,meat,513.93,2
955,other,515.04,3
956,produce,516.15,4
957,dairy,517.26,5
958,bakery,518.37,6
959,meat,519.48,7
960,other,520.59,8
961,produce,521.7,9
962,dairy,522.81,10
963,bakery,523.92,11
964,meat,525.03,12
965,other,526.14,13
966,produce,527.25,14
967,dairy,528.36,15
968,bakery,529.47,16
969,meat,530.58,17
970,other,531.69,18
971,produce,532.8,19
972,dairy,533.91,20
973,bakery,535.02,21
974,meat,536.13,22
975,other,537.24,23
976,produce,538.35,24
977,dairy,539.46,25
978,bakery,540.57,26
979,meat,541.68,27
980,other,542.79,28
981,produce,543.9,1
982,dairy,545.01,2
983,bakery,546.12,3
984,meat,547.23,4
985,other,548.34,5
986,produce,549.45,6
987,dairy,550.56,7
988,bakery,551.67,8
989,meat,552.78,9
990,other,553.89,10
991,produce,555.0,11
992,dairy,556.11,12
993,bakery,557.22,13
994,meat,558.33,14
995,other,559.44,15
996,produce,560.55,16
997,dairy,561.66,17
998,bakery,562.77,18
999,meat,563.88,19
1000,other,9.99,20
